UserID,UserIndex
ur39545824,314
ur4234119,315
ur0689103,316
ur18006975,317
ur50586780,318
ur74543670,319
ur0355122,320
ur60031419,321
ur67096901,322
ur38340845,323
ur14692191,324
ur46768703,325
ur65089494,326
ur2366009,327
ur7813355,328
ur54076421,329
ur2419668,330
ur1071044,331
ur26820801,332
ur5111088,333
ur40800690,334
ur51691036,335
ur4873387,336
ur57213624,337
ur37234799,338
ur0892646,339
ur0114810,340
ur1601212,341
ur20258406,342
ur2904674,343
ur22155682,344
ur4465293,345
ur25837689,346
ur65630430,347
ur2248099,348
ur0643915,349
ur58295593,350
ur69508929,351
ur90317620,352
ur21961286,353
ur1148823,354
ur1100711,355
ur59762856,356
ur37865503,357
ur1803589,358
ur57590728,359
ur23096180,360
ur23008770,361
ur5921267,362
ur53645293,363
ur0862284,364
ur1173088,365
ur1810863,366
ur10774147,367
ur2509775,368
ur32915980,369
ur39634854,370
ur50950195,371
ur94875269,372
ur13549369,373
ur35683824,374
ur61667346,375
ur60971565,376
ur0882646,377
ur3836774,378
ur7455662,379
ur1448185,380
ur5424352,381
ur66517869,382
ur37113112,383
ur1581184,384
ur2349170,385
ur66111139,386
ur69482389,387
ur26443691,388
ur0940723,389
ur0919736,390
ur0311101,391
ur0460091,392
ur31638149,393
ur48986108,394
ur44740658,395
ur19658928,396
ur67278807,397
ur18905724,398
ur22423593,399
ur62716745,400
ur8971626,401
ur101952200,402
ur60302659,403
ur2120198,404
ur80912172,405
ur56005872,406
ur20489156,407
ur93969415,408
ur98906416,409
ur0610462,410
ur66246521,411
ur43078905,412
ur45060413,413
ur55091955,414
ur48380272,415
ur107128225,416
ur102020480,417
ur10115534,418
ur20437399,419
ur45074930,420
ur19980456,421
ur9871443,422
ur0064493,423
ur28935107,424
ur46025423,425
ur25312605,426
ur27175177,427
ur4060420,428
ur52343269,429
ur13566917,430
ur2926783,431
ur2955935,432
ur1024212,433
ur30349069,434
ur67062099,435
ur23872945,436
ur18437585,437
ur97751573,438
ur66504633,439
ur60028700,440
ur56662111,441
ur43733977,442
ur11174645,443
ur31755749,444
ur44737250,445
ur47563855,446
ur11059167,447
ur19798834,448
ur100851792,449
ur100116496,450
ur28597523,451
ur11042798,452
ur49374574,453
ur54284018,454
ur17816293,455
ur22877680,456
ur55438185,457
ur33634965,458
ur20126823,459
ur43268020,460
ur25081589,461
ur76941592,462
ur61592821,463
ur103663848,464
ur91483786,465
ur3588397,466
ur47239035,467
ur44806343,468
ur1893630,469
ur0819382,470
ur40116064,471
ur9081274,472
ur3670492,473
ur89493617,474
ur2693778,475
ur46356153,476
ur104847670,477
ur53825238,478
ur48835630,479
ur43153929,480
ur23577930,481
ur4602745,482
ur21941782,483
ur6201371,484
ur46915265,485
ur104906345,486
ur0077316,487
ur1350313,488
ur23390845,489
ur0011762,490
ur23581966,491
ur22995121,492
ur36549417,493
ur2121650,494
ur69639064,495
ur56018473,496
ur7602045,497
ur34307814,498
ur79206850,499
ur64640683,500
ur46170709,501
ur59236058,502
ur28155386,503
ur55939461,504
ur43502679,505
ur78277499,506
ur1052670,507
ur54287257,508
ur23569476,509
ur26079470,510
ur19745848,511
ur1114009,512
ur1622466,513
ur64505268,514
ur54075235,515
ur3112639,516
ur11187722,517
ur1337815,518
ur18635939,519
ur56563750,520
ur63517825,521
